 C ,  0.5000000    
           2 ,  0.1233750    
           3 ,  0.1168333    
           4 ,  0.1182812    
           5 ,  0.1148500    
           6 ,  0.1128750    
           7 ,  0.1112500    
           8 ,  0.1076563    
           9 ,  0.1091250    
          10 ,  0.1116375    
          11 ,  0.1121023    
          12 ,  0.1099688    
          13 ,  0.1068558    
          14 ,  0.1104375    
          15 ,  0.1083667    
          16 ,  0.1072969    
          17 ,  0.1105882    
          18 ,  0.1100486    
          19 ,  0.1011382    
          20 ,  0.1029625    
          21 ,  0.1090476    
          22 ,  0.1075852    
          23 ,  0.1067500    
          24 ,  0.1080313    
          25 ,  0.1013100    
          26 ,  0.1075385    
          27 ,  0.1026389    
          28 ,  0.1094330    
          29 ,  0.1073276    
          30 ,  0.1032917    
          31 ,  0.1046331    
          32 ,  0.1038399    
          33 ,  0.1017727    
          34 ,  0.1047794    
          35 ,  0.1096357    
          36 ,  0.1039757    
          37 ,  0.1048784    
          38 ,  0.1089441    
          39 ,  0.1044872    
          40 ,  0.1044312    
          41 ,  0.1007439    
          42 ,  0.1009048    
          43 ,  0.1043837    
          44 ,  0.1053011    
          45 ,  0.1039333    
          46 ,  0.1017500    
          47 ,  0.1041064    
          48 ,  0.1029062    
          49 ,  0.1031964    
          50 ,  0.1005850    
