 T, e
  0.1360000     ,  1.9856386E-03
  0.1720000     ,  2.4997580E-03
  0.2080000     ,  1.0662027E-02
  0.2440000     ,  1.2050811E-02
  0.2800000     ,  1.7107712E-02
  0.3160000     ,  1.1374340E-02
  0.3520000     ,  5.1411493E-03
  0.3880000     ,  6.2930179E-03
  0.4240000     ,  7.3323399E-03
  0.4600000     ,  2.9558893E-03
  0.4960000     ,  8.6824903E-03
  0.5320001     ,  3.4460219E-04
  0.5680000     ,  6.0418048E-03
  0.6040000     ,  2.6913546E-03
  0.6400000     ,  1.1334590E-02
  0.6760001     ,  1.3644001E-02
  0.7120001     ,  1.2891483E-02
  0.7480001     ,  8.9951307E-03
  0.7840000     ,  8.3193956E-03
  0.8200001     ,  3.7620356E-03
  0.8560001     ,  6.0355333E-03
  0.8920001     ,  4.6727960E-03
  0.9280001     ,  6.3870624E-03
  0.9640001     ,  9.9559175E-03
   1.000000     ,  8.1611555E-03
   1.036000     ,  6.4915810E-03
   1.072000     ,  1.1064506E-02
   1.108000     ,  1.4141966E-02
   1.144000     ,  1.2857437E-02
   1.180000     ,  1.0870757E-02
   1.216000     ,  4.7396948E-03
   1.252000     ,  1.5387501E-02
   1.288000     ,  4.9703163E-03
   1.324000     ,  3.8821879E-03
   1.360000     ,  6.0668527E-03
   1.396000     ,  6.5667015E-03
   1.432000     ,  5.7100505E-03
   1.468000     ,  9.6512204E-03
   1.504000     ,  7.5198459E-03
   1.540000     ,  3.3387777E-03
   1.576000     ,  7.6946635E-03
   1.612000     ,  1.0235330E-02
   1.648000     ,  6.2554949E-03
   1.684000     ,  7.2169588E-03
   1.720000     ,  5.1419917E-03
   1.756000     ,  9.5475717E-03
   1.792000     ,  4.6605044E-03
   1.828000     ,  1.8855593E-03
   1.864000     ,  6.1727003E-03
   1.900000     ,  4.9641468E-03
   1.936000     ,  3.4291062E-03
   1.972000     ,  1.9031180E-03
   2.008000     ,  8.4761241E-03
   2.044000     ,  1.4602116E-02
   2.080000     ,  1.0171126E-02
   2.116000     ,  7.3526963E-03
   2.152000     ,  5.4351487E-03
   2.188000     ,  2.9756670E-04
   2.224000     ,  1.0119539E-02
   2.260000     ,  9.6956091E-03
   2.296000     ,  4.3320348E-03
   2.332000     ,  4.8682122E-03
   2.368000     ,  3.5571512E-03
   2.404000     ,  6.7764064E-03
   2.440000     ,  1.6901860E-02
   2.476000     ,  6.3896999E-03
   2.512000     ,  1.1090159E-03
   2.548000     ,  8.0040442E-03
   2.584000     ,  1.5921846E-02
   2.620000     ,  4.8847939E-03
   2.656000     ,  8.4549766E-03
   2.692000     ,  5.2947081E-03
   2.728000     ,  2.5126298E-03
   2.764000     ,  2.2068827E-03
   2.800000     ,  3.0615360E-03
   2.836000     ,  1.0304720E-02
   2.872000     ,  8.0024367E-03
   2.908000     ,  8.6948751E-03
   2.944000     ,  5.6516221E-03
   2.980000     ,  6.8927072E-03
   3.016000     ,  2.3882056E-03
   3.052000     ,  1.6313222E-03
   3.088000     ,  4.8742611E-03
   3.124000     ,  6.5031420E-03
   3.160000     ,  3.2599110E-03
   3.196000     ,  9.3407407E-03
   3.232000     ,  3.9647026E-03
   3.268000     ,  5.4863375E-03
   3.304000     ,  7.2515011E-03
   3.340000     ,  8.0234976E-03
   3.376000     ,  7.5954841E-03
   3.412000     ,  1.5405207E-02
   3.448000     ,  5.5820895E-03
   3.484000     ,  3.2238455E-03
   3.520000     ,  3.3539899E-03
   3.556000     ,  6.0810377E-03
   3.592000     ,  5.2512703E-03
   3.628000     ,  2.6217508E-03
   3.664000     ,  9.9227997E-03
   3.700000     ,  7.2087976E-03
